id,original_title,budget,revenue,original_language,status,release_date,overview,tagline,list_keywords,primary_genre,list_genres,list_productioin_countries,num_production_companies,num_productioin_countries,list_spoken_languages,num_spoken_languages,popularity,vote_average,vote_count,runtime,animated,movie_id,title,movie_director,crew_size,cast_size,year
19995,Avatar,237000000,2787965087,en,Released,2009-12-10,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Enter the World of Pandora.,"['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']",Action,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['United States of America', 'United Kingdom']",4,2,"['English', 'Español']",2,150.437577,7.2,11800,162.0,0,19995,Avatar,James Cameron,153,83,2009
285,Pirates of the Caribbean: At World's End,300000000,961000000,en,Released,2007-05-19,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","At the end of the world, the adventure begins.","['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",Adventure,"['Adventure', 'Fantasy', 'Action']",['United States of America'],3,1,['English'],1,139.082615,6.9,4500,169.0,0,285,Pirates of the Caribbean: At World's End,Gore Verbinski,32,34,2007
206647,Spectre,245000000,880674609,en,Released,2015-10-26,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",A Plan No One Escapes,"['spy', 'based on novel', 'secret agent', 'sequel', 'mi6', 'british secret service', 'united kingdom']",Action,"['Action', 'Adventure', 'Crime']","['United Kingdom', 'United States of America']",3,2,"['Français', 'English', 'Español', 'Italiano', 'Deutsch']",5,107.37678799999999,6.3,4466,148.0,0,206647,Spectre,Sam Mendes,155,83,2015
49026,The Dark Knight Rises,250000000,1084939099,en,Released,2012-07-16,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",The Legend Ends,"['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage drama', 'time bomb', 'gotham city', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragic hero', 'terrorism', 'destruction', 'catwoman', 'cat burglar', 'imax', 'flood', 'criminal underworld', 'batman']",Action,"['Action', 'Crime', 'Drama', 'Thriller']",['United States of America'],4,1,['English'],1,112.31295,7.6,9106,165.0,0,49026,The Dark Knight Rises,Christopher Nolan,217,158,2012
49529,John Carter,260000000,284139100,en,Released,2012-03-07,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","Lost in our world, found in another.","['based on novel', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgar rice burroughs', 'alien race', 'superhuman strength', 'mars civilization', 'sword and planet', '19th century', '3d']",Action,"['Action', 'Adventure', 'Science Fiction']",['United States of America'],1,1,['English'],1,43.926995,6.1,2124,132.0,0,49529,John Carter,Andrew Stanton,132,27,2012
559,Spider-Man 3,258000000,890871626,en,Released,2007-05-01,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",The battle within.,"['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand', 'narcism', 'hostility', 'marvel comic', 'sequel', 'superhero', 'revenge']",Fantasy,"['Fantasy', 'Action', 'Adventure']",['United States of America'],3,1,"['English', 'Français']",2,115.69981399999999,5.9,3576,139.0,0,559,Spider-Man 3,Sam Raimi,56,143,2007
38757,Tangled,260000000,591794936,en,Released,2010-11-24,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",They're taking adventure to new lengths.,"['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'princess', 'animation', 'tower', 'blonde woman', 'selfishness', 'healing power', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick']",Animation,"['Animation', 'Family']",['United States of America'],2,1,['English'],1,48.681969,7.4,3330,100.0,1,38757,Tangled,Byron Howard,79,13,2010
99861,Avengers: Age of Ultron,280000000,1405403694,en,Released,2015-04-22,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",A New Age Has Come.,"['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",Action,"['Action', 'Adventure', 'Science Fiction']",['United States of America'],3,1,['English'],1,134.27922900000002,7.3,6767,141.0,0,99861,Avengers: Age of Ultron,Joss Whedon,74,72,2015
767,Harry Potter and the Half-Blood Prince,250000000,933959197,en,Released,2009-07-07,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",Dark Secrets Revealed,"['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']",Adventure,"['Adventure', 'Fantasy', 'Family']","['United Kingdom', 'United States of America']",2,2,['English'],1,98.885637,7.4,5293,153.0,0,767,Harry Potter and the Half-Blood Prince,David Yates,27,49,2009
209112,Batman v Superman: Dawn of Justice,250000000,873260194,en,Released,2016-03-23,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",Justice or revenge,"['dc comics', 'vigilante', 'superhero', 'based on comic book', 'revenge', 'super powers', 'clark kent', 'bruce wayne', 'dc extended universe']",Action,"['Action', 'Adventure', 'Fantasy']",['United States of America'],6,1,['English'],1,155.790452,5.7,7004,151.0,0,209112,Batman v Superman: Dawn of Justice,Zack Snyder,111,152,2016
