,cast,crew,budget,genres,keywords,original_language,original_title,popularity,production_companies,production_countries,revenue,runtime,status,vote_average,vote_count,release_year,release_month,release_quarter
0,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",['James Cameron'],237000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']",en,Avatar,150.437577,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']","['United States of America', 'United Kingdom']",2787965087,162.0,Released,7.2,11800,2009,12,4
1,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",['Gore Verbinski'],300000000,"['Adventure', 'Fantasy', 'Action']","['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",en,Pirates of the Caribbean: At World's End,139.082615,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",['United States of America'],961000000,169.0,Released,6.9,4500,2007,5,2
2,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",['Sam Mendes'],245000000,"['Action', 'Adventure', 'Crime']","['spy', 'based on novel', 'secret agent', 'sequel', 'mi6', 'british secret service', 'united kingdom']",en,Spectre,107.37678799999999,"['Columbia Pictures', 'Danjaq', 'B24']","['United Kingdom', 'United States of America']",880674609,148.0,Released,6.3,4466,2015,10,4
3,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",['Christopher Nolan'],250000000,"['Action', 'Crime', 'Drama', 'Thriller']","['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage drama', 'time bomb', 'gotham city', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragic hero', 'terrorism', 'destruction', 'catwoman', 'cat burglar', 'imax', 'flood', 'criminal underworld', 'batman']",en,The Dark Knight Rises,112.31295,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",['United States of America'],1084939099,165.0,Released,7.6,9106,2012,7,3
4,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",['Andrew Stanton'],260000000,"['Action', 'Adventure', 'Science Fiction']","['based on novel', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgar rice burroughs', 'alien race', 'superhuman strength', 'mars civilization', 'sword and planet', '19th century', '3d']",en,John Carter,43.926995,['Walt Disney Pictures'],['United States of America'],284139100,132.0,Released,6.1,2124,2012,3,1
5,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",['Sam Raimi'],258000000,"['Fantasy', 'Action', 'Adventure']","['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand', 'narcism', 'hostility', 'marvel comic', 'sequel', 'superhero', 'revenge']",en,Spider-Man 3,115.69981399999999,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",['United States of America'],890871626,139.0,Released,5.9,3576,2007,5,2
6,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']","['Byron Howard', 'Nathan Greno']",260000000,"['Animation', 'Family']","['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'princess', 'animation', 'tower', 'blonde woman', 'selfishness', 'healing power', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick']",en,Tangled,48.681969,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America'],591794936,100.0,Released,7.4,3330,2010,11,4
7,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",['Joss Whedon'],280000000,"['Action', 'Adventure', 'Science Fiction']","['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",en,Avengers: Age of Ultron,134.27922900000002,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",['United States of America'],1405403694,141.0,Released,7.3,6767,2015,4,2
8,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['David Yates'],250000000,"['Adventure', 'Fantasy', 'Family']","['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']",en,Harry Potter and the Half-Blood Prince,98.885637,"['Warner Bros.', 'Heyday Films']","['United Kingdom', 'United States of America']",933959197,153.0,Released,7.4,5293,2009,7,3
9,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",['Zack Snyder'],250000000,"['Action', 'Adventure', 'Fantasy']","['dc comics', 'vigilante', 'superhero', 'based on comic book', 'revenge', 'super powers', 'clark kent', 'bruce wayne', 'dc extended universe']",en,Batman v Superman: Dawn of Justice,155.790452,"['DC Comics', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment', 'Cruel & Unusual Films', 'RatPac-Dune Entertainment']",['United States of America'],873260194,151.0,Released,5.7,7004,2016,3,1
10,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",['Bryan Singer'],270000000,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']","['saving the world', 'dc comics', 'invulnerability', 'sequel', 'superhero', 'based on comic book', 'kryptonite', 'super powers', 'superhuman strength', 'lex luthor']",en,Superman Returns,57.925623,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'Bad Hat Harry Productions']",['United States of America'],391081192,154.0,Released,5.4,1400,2006,6,2
11,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']",['Marc Forster'],200000000,"['Adventure', 'Action', 'Thriller', 'Crime']","['killing', 'undercover', 'secret agent', 'british secret service']",en,Quantum of Solace,107.92881100000001,['Eon Productions'],"['United Kingdom', 'United States of America']",586090727,106.0,Released,6.1,2965,2008,10,4
12,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",['Gore Verbinski'],200000000,"['Adventure', 'Fantasy', 'Action']","['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",en,Pirates of the Caribbean: Dead Man's Chest,145.84737900000002,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']","['Jamaica', 'United States of America', 'Bahamas', 'Dominica']",1065659812,151.0,Released,7.0,5246,2006,6,2
13,"['Johnny Depp', 'Armie Hammer', 'William Fichtner']",['Gore Verbinski'],255000000,"['Action', 'Adventure', 'Western']","['texas', 'horse', 'survivor', 'texas ranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'lone ranger', 'comanche', 'the lone ranger', 'tonto']",en,The Lone Ranger,49.046956,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Silver Bullet Productions (II)', 'Blind Wink Productions', 'Classic Media']",['United States of America'],89289910,149.0,Released,5.9,2311,2013,7,3
14,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",['Zack Snyder'],225000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['saving the world', 'dc comics', 'superhero', 'based on comic book', 'superhuman', 'alien invasion', 'reboot', 'super powers', 'dc extended universe']",en,Man of Steel,99.398009,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Cruel and Unusual Films']","['United Kingdom', 'United States of America']",662845518,143.0,Released,6.5,6359,2013,6,2
15,"['Ben Barnes', 'William Moseley', 'Anna Popplewell']",['Andrew Adamson'],225000000,"['Adventure', 'Family', 'Fantasy']","['based on novel', 'fictional place', 'brother sister relationship', 'lion', 'human being', 'wretch', 'leap in time', 'matter of life and death', 'faith', 'uncle', 'narnia', 'fantasy world']",en,The Chronicles of Narnia: Prince Caspian,53.978602,"['Walt Disney', 'Walden Media', 'Stillking Films', 'Ozumi Films', 'Propeler', 'Silverbell Films', 'Revolution Sun Studios']","['Czech Republic', 'Poland', 'Slovenia', 'United States of America']",419651413,150.0,Released,6.3,1630,2008,5,2
16,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",['Joss Whedon'],220000000,"['Science Fiction', 'Action', 'Adventure']","['new york', 'shield', 'marvel comic', 'superhero', 'based on comic book', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",en,The Avengers,144.448633,"['Paramount Pictures', 'Marvel Studios']",['United States of America'],1519557910,143.0,Released,7.4,11776,2012,4,2
17,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane']",['Rob Marshall'],380000000,"['Adventure', 'Action', 'Fantasy']","['sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d']",en,Pirates of the Caribbean: On Stranger Tides,135.413856,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']",['United States of America'],1045713802,136.0,Released,6.4,4948,2011,5,2
18,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']",['Barry Sonnenfeld'],225000000,"['Action', 'Comedy', 'Science Fiction']","['time travel', 'time machine', 'alien', 'fictional government agency', 'seeing the future', 'changing history']",en,Men in Black 3,52.035179,"['Amblin Entertainment', 'Media Magik Entertainment', 'Imagenation Abu Dhabi FZ', 'Hemisphere Media Capital', 'Parkes/MacDonald Productions']",['United States of America'],624026776,106.0,Released,6.2,4160,2012,5,2
19,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",['Peter Jackson'],250000000,"['Action', 'Adventure', 'Fantasy']","['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'dragon', 'battle', 'unlikely friendship', 'epic battle', 'sword and sorcery']",en,The Hobbit: The Battle of the Five Armies,120.96574299999999,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', '3Foot7', 'Metro-Goldwyn-Mayer (MGM)']","['New Zealand', 'United States of America']",956019788,144.0,Released,7.1,4760,2014,12,4
